date,1. open,2. high,3. low,4. close
2025-04-25,57.822,58.0149,57.8121,57.9173
2025-04-24,57.7532,58.0784,57.7362,58.0147
2025-04-23,57.8684,58.3088,57.6641,57.6704
2025-04-22,58.8655,59.0106,58.0458,58.0539
2025-04-21,58.4124,59.1251,58.4124,58.8069
2025-04-18,58.133,58.2563,58.1284,58.2509
2025-04-17,58.2694,58.5825,57.9562,58.1228
2025-04-16,57.5812,58.2745,57.5253,58.2712
2025-04-15,57.7486,57.9416,57.444,57.5205
2025-04-14,58.0198,58.6512,57.6328,57.9679
2025-04-11,58.1135,58.5496,58.0324,58.3048
2025-04-10,56.6356,57.6914,56.4786,57.4923
2025-04-09,56.2332,57.3013,56.2332,56.5583
2025-04-08,56.0609,56.528,55.8851,56.1158
2025-04-07,55.9848,56.8623,55.8457,56.0912
2025-04-04,56.0011,56.0914,55.3235,55.3235
2025-04-03,55.0316,56.3026,55.0316,55.8936
2025-04-02,54.6055,54.9779,54.5929,54.7724
2025-04-01,54.7059,54.7663,54.5337,54.5903
2025-03-31,54.7886,54.7974,54.5494,54.6985
2025-03-28,54.5951,54.7863,54.4533,54.7559
2025-03-27,54.4259,54.6839,54.3737,54.6032
2025-03-26,54.5613,54.6312,54.3137,54.3481
2025-03-25,54.6619,54.7846,54.5433,54.5716
2025-03-24,54.8669,55.0028,54.5764,54.6516
2025-03-21,54.9001,54.9097,54.6406,54.6848
2025-03-20,55.2847,55.2893,54.7004,54.8527
2025-03-19,55.2314,55.2906,54.9147,55.2166
2025-03-18,55.1582,55.354,55.0054,55.2887
2025-03-17,55.0397,55.191,54.9473,55.1645
2025-03-14,54.9743,55.2452,54.8775,55.1277
2025-03-13,55.1695,55.2073,54.9109,55.0234
2025-03-12,55.2261,55.4122,55.0971,55.1647
2025-03-11,54.8365,55.3536,54.8203,55.216
2025-03-10,54.9426,54.9502,54.7459,54.8188
2025-03-07,54.6713,55.113,54.6546,54.9422
2025-03-06,54.6788,54.9222,54.6788,54.7109
2025-03-05,53.8539,54.697,53.6906,54.6671
2025-03-04,53.0906,53.4764,53.0582,53.3573
2025-03-03,52.6975,53.1764,52.6325,53.0967
2025-02-28,52.6889,52.7338,52.5038,52.5481
2025-02-27,53.0474,53.1216,52.6715,52.6732
2025-02-26,53.1859,53.1963,52.9889,53.0484
2025-02-25,52.9701,53.2122,52.9367,53.1824
2025-02-24,53.1633,53.2126,52.9253,52.9671
2025-02-21,53.0789,53.1318,52.8418,52.8693
2025-02-20,52.7803,53.1214,52.7401,53.1191
2025-02-19,52.8981,53.0096,52.649,52.7033
2025-02-18,52.9726,53.0552,52.8527,52.9122
2025-02-17,53.1138,53.167,52.9802,53.0303
2025-02-14,52.9965,53.2311,52.9132,53.1998
2025-02-13,52.6451,52.9605,52.5775,52.9532
2025-02-12,52.27,52.7795,52.2448,52.6233
2025-02-11,51.8352,52.27,51.7881,52.27
2025-02-10,51.7306,52.0152,51.7306,51.8306
2025-02-07,52.2406,52.3085,51.9003,51.9403
2025-02-06,52.3542,52.3605,52.0725,52.2232
2025-02-05,52.2054,52.4506,52.1891,52.3552
2025-02-04,52.0405,52.25,51.7264,52.215
2025-02-03,51.4843,52.0879,51.3189,52.0879
2025-01-31,52.1802,52.3404,52.0501,52.1355
2025-01-30,52.3383,52.5675,52.198,52.3198
2025-01-29,52.3707,52.4435,52.1694,52.2476
2025-01-28,52.7246,52.7293,52.3011,52.381
2025-01-27,52.6029,52.9247,52.5257,52.711
2025-01-24,52.3909,52.8809,52.3858,52.767
2025-01-23,52.3844,52.4776,52.2518,52.3786
2025-01-22,52.4307,52.6275,52.3019,52.3649
2025-01-21,52.4106,52.4722,52.2576,52.2601
2025-01-20,51.7707,52.4186,51.7619,52.4166
2025-01-17,51.94,52.0569,51.7427,51.7608
2025-01-16,51.9026,51.9768,51.7087,51.9133
2025-01-15,51.9978,52.191,51.8075,51.8937
2025-01-14,51.799,51.9935,51.6812,51.9771
2025-01-13,51.7863,51.7972,51.4614,51.5717
2025-01-10,52.0962,52.1251,51.7171,51.7949
2025-01-09,52.2028,52.2417,52.0494,52.0833
2025-01-08,52.3812,52.4789,52.0019,52.2154
2025-01-07,52.6345,52.656,52.3716,52.3716
2025-01-06,52.2583,52.8616,52.201,52.6233
2025-01-03,52.1508,52.3667,52.1467,52.3667
2025-01-02,52.6962,52.7404,51.9563,52.0906
2024-12-31,52.8861,53.0203,52.596,52.6141
2024-12-30,53.049,53.2182,52.762,52.8726
2024-12-27,53.0147,53.0554,52.9425,53.0323
2024-12-26,52.9452,53.0188,52.871,53.0185
2024-12-25,52.9246,53.0609,52.9246,52.9984
2024-12-24,53.1023,53.2103,52.8531,52.9271
2024-12-23,53.146,53.1707,52.9801,53.1485
2024-12-20,52.7694,53.1134,52.7529,53.0818
2024-12-19,52.6539,53.0833,52.6456,52.7766
2024-12-18,53.2832,53.4891,52.6366,52.6366
2024-12-17,53.4099,53.4774,53.2456,53.2609
2024-12-16,53.292,53.4921,53.2196,53.3913
2024-12-13,53.2073,53.3735,53.1369,53.3689
2024-12-12,53.1983,53.4805,53.1783,53.1895
2024-12-11,53.112,53.3479,52.931,53.1277
2024-12-10,53.299,53.4023,52.967,53.1092
2024-12-09,53.025,53.6535,52.9023,53.2788
2024-12-06,52.9051,52.9728,52.7224,52.7596
2024-12-05,52.3471,52.9341,52.3471,52.8109
2024-12-04,52.2882,52.495,52.1785,52.3513
2024-12-03,52.3049,52.368,52.2663,52.285
2024-12-02,52.1729,52.1969,52.1187,52.1339
2024-11-29,52.3693,52.437,52.2807,52.4293
2024-11-28,52.4952,52.496,52.2252,52.3477
2024-11-27,52.0581,52.5612,51.9437,52.485
2024-11-26,52.0601,52.3279,51.9023,52.0581
2024-11-25,52.0965,52.2173,51.8508,52.07
2024-11-22,52.0236,52.0942,51.6833,51.7333
2024-11-21,52.4806,52.5137,51.9712,52.0169
2024-11-20,52.4722,52.5293,52.3232,52.4021
2024-11-19,52.4158,52.4804,52.1475,52.4474
2024-11-18,51.9903,52.415,51.9903,52.415
2024-11-15,51.9773,52.1258,51.9242,51.9946
2024-11-14,52.1156,52.236,51.8674,51.9711
2024-11-13,52.2655,52.5297,52.0633,52.1168
2024-11-12,52.4634,52.4769,52.1531,52.2925
2024-11-11,52.7926,52.8223,52.3254,52.4587
2024-11-08,53.2477,53.2504,52.7385,52.8444
2024-11-07,52.8414,53.3274,52.8402,53.2175
2024-11-06,53.6854,53.7379,52.5808,52.8498
2024-11-05,53.3662,53.7024,53.3468,53.6864
2024-11-04,53.2851,53.5795,53.265,53.3638
2024-11-01,53.2434,53.2502,53.0007,53.012
2024-10-31,52.8836,53.273,52.8602,53.218
2024-10-30,52.7039,52.9811,52.6497,52.9233
2024-10-29,52.6409,52.7385,52.4522,52.6854
2024-10-28,52.6055,52.7197,52.5433,52.68
2024-10-25,52.7982,52.8599,52.788,52.8404
2024-10-24,52.6013,52.7944,52.524,52.7942
2024-10-23,52.5978,52.625,52.4219,52.5803
2024-10-22,52.6568,52.7858,52.5729,52.5919
2024-10-21,52.8282,52.8377,52.6193,52.6205
2024-10-18,52.6726,52.863,52.667,52.844
2024-10-17,52.7772,52.9008,52.5908,52.6561
2024-10-16,52.8559,52.9942,52.7427,52.7845
2024-10-15,53.0048,53.0221,52.8345,52.8746
2024-10-14,53.0695,53.1863,52.963,53.0116
2024-10-11,53.1161,53.1987,53.1037,53.1356
2024-10-10,53.0638,53.2038,53.0141,53.1288
2024-10-09,53.3431,53.3453,53.0422,53.0519
2024-10-08,53.1257,53.3961,53.1148,53.3557
2024-10-07,53.0468,53.1864,53.0004,53.1173
2024-10-04,53.3443,53.3457,52.949,53.0616
2024-10-03,53.4249,53.4331,53.2483,53.3199
2024-10-02,53.3894,53.6582,53.3245,53.4014
2024-10-01,53.7771,53.8558,53.296,53.3973
2024-09-30,54.0093,54.1262,53.6902,53.7588
2024-09-27,54.06,54.1028,53.9076,53.9828
2024-09-26,54.0837,54.2026,53.8452,54.052
2024-09-25,54.4565,54.5946,54.0262,54.04
2024-09-24,54.0627,54.4302,54.0142,54.4302
2024-09-23,54.1767,54.2667,53.8675,54.0685
2024-09-20,54.1694,54.2203,54.0665,54.1553
2024-09-19,53.9804,54.2701,53.9079,54.1723
2024-09-18,53.8326,54.1488,53.8116,54.0027
2024-09-17,53.8941,53.9827,53.7915,53.7915
2024-09-16,53.7027,53.9373,53.6974,53.8972
2024-09-13,53.6349,53.7519,53.6349,53.6882
2024-09-12,53.2767,53.6436,53.2601,53.6385
2024-09-11,53.2951,53.5351,53.2308,53.3027
2024-09-10,53.3697,53.449,53.2744,53.29
2024-09-09,53.67,53.677,53.3452,53.3634
2024-09-06,53.8195,53.8466,53.6281,53.6737
2024-09-05,53.7202,53.8902,53.6901,53.8137
2024-09-04,53.5869,53.7846,53.5342,53.7291
2024-09-03,53.7452,53.7471,53.4766,53.5471
2024-09-02,53.6608,53.7987,53.6283,53.7019
2024-08-30,53.8663,53.8816,53.7049,53.7243
2024-08-29,54.143,54.223,53.7649,53.8602
2024-08-28,54.3828,54.3828,54.0277,54.1077
2024-08-27,54.4146,54.497,54.3107,54.4609
2024-08-26,54.5904,54.65,54.3571,54.3839
2024-08-23,54.2216,54.6341,54.176,54.5811
2024-08-22,54.4225,54.4225,54.1392,54.2031
2024-08-21,54.4242,54.4351,54.1987,54.393
2024-08-20,54.0665,54.4215,53.9283,54.4215
2024-08-19,53.8646,54.076,53.8077,54.0624
2024-08-16,53.6553,53.8584,53.6516,53.8584
2024-08-15,54.0566,54.1015,53.5469,53.6686
2024-08-14,54.2865,54.571,54.227,54.571
2024-08-13,53.9193,54.3238,53.8717,54.3038
2024-08-12,53.77,53.9423,53.7439,53.908
2024-08-09,53.7687,53.829,53.7453,53.7588
2024-08-08,53.8304,53.9531,53.5995,53.7633
2024-08-07,53.7515,53.8595,53.6728,53.8218
2024-08-06,53.9423,53.9561,53.6538,53.7665
2024-08-05,53.2172,54.3269,53.1248,53.9465
2024-08-02,52.5426,53.1654,52.5362,53.0929
2024-08-01,52.5919,52.6709,52.4544,52.5387
2024-07-31,52.4229,52.7079,52.3468,52.5076
2024-07-30,52.2861,52.481,52.2605,52.3735
2024-07-29,52.5315,52.5517,52.2135,52.2933
2024-07-26,52.431,52.5264,52.4283,52.4996
2024-07-25,52.395,52.5243,52.357,52.4295
2024-07-24,52.4764,52.5458,52.3611,52.4022
2024-07-23,52.7245,52.7787,52.4428,52.4669
2024-07-22,52.7109,52.7629,52.6195,52.7022
2024-07-19,52.5307,52.5442,52.4892,52.5049
2024-07-18,52.7021,52.8232,52.5691,52.5717
2024-07-17,52.3535,52.8243,52.3269,52.7144
2024-07-16,52.2432,52.4508,52.165,52.3604
2024-07-15,52.1908,52.3819,52.1042,52.2671
2024-07-12,52.1487,52.3547,52.1432,52.3437
2024-07-11,52.0238,52.3128,52.0195,52.158
2024-07-10,51.9797,52.1912,51.8696,51.9811
2024-07-09,51.8988,52.1351,51.8817,51.985
2024-07-08,51.9212,52.0502,51.8666,51.8803
2024-07-05,51.9211,51.9989,51.9211,51.9989
2024-07-04,51.9471,52.0047,51.7207,51.8896
2024-07-03,51.7599,52.0723,51.7005,51.925
2024-07-02,51.8703,51.8742,51.5427,51.7238
2024-07-01,51.6521,51.9668,51.6398,51.8259
2024-06-28,51.3455,51.5008,51.3243,51.4288
2024-06-27,51.3688,51.5386,51.3565,51.4096
2024-06-26,51.8285,52.1352,51.2564,51.3061
2024-06-25,51.871,51.9295,51.6924,51.8374
2024-06-24,51.4583,52.0776,51.4583,51.8729
2024-06-21,51.1071,51.1262,50.9709,51.0142
2024-06-20,51.2472,51.2472,51.0723,51.0864
2024-06-19,51.2371,51.288,51.236,51.2592
2024-06-18,51.2255,51.2464,51.1615,51.2438
2024-06-17,51.0587,51.222,51.0582,51.2095
2024-06-14,51.2524,51.2546,50.9099,51.0785
2024-06-13,51.534,51.6663,51.215,51.2309
2024-06-12,51.0825,51.7338,51.0534,51.5574
2024-06-11,51.3614,51.3659,50.9828,51.0808
2024-06-10,51.3816,51.3816,51.2011,51.3185
2024-06-07,51.7469,51.7744,51.3395,51.3402
2024-06-06,51.7442,51.9389,51.5534,51.7419
2024-06-05,51.6471,51.904,51.4746,51.7784
2024-06-04,51.3863,51.6478,51.2883,51.6172
2024-06-03,51.367,51.4423,51.0417,51.3556
2024-05-31,51.1611,51.4004,51.1114,51.2772
2024-05-30,51.1955,51.3383,50.938,51.179
2024-05-29,51.6457,51.648,51.0856,51.088
2024-05-28,51.2669,51.7809,51.2669,51.6871
2024-05-27,50.9416,51.3156,50.8261,51.2176
2024-05-24,50.9622,51.1721,50.9594,51.1494
2024-05-23,50.6585,51.342,50.5432,50.9903
2024-05-22,50.7426,50.7953,50.6126,50.6309
2024-05-21,50.6405,50.7667,50.6001,50.613
2024-05-20,50.9378,51.1001,50.5956,50.6556
2024-05-17,50.9367,51.0237,50.8959,50.9857
2024-05-16,50.9884,51.6933,50.8912,50.9733
2024-05-15,50.72,50.9723,50.6442,50.958
2024-05-14,50.7757,50.8761,50.5311,50.6787
2024-05-13,50.9174,51.0474,50.6992,50.7854
2024-05-10,51.0663,51.0967,51.0481,51.0533
2024-05-09,51.1038,51.1996,50.7365,51.0893
2024-05-08,51.2426,51.3555,51.0781,51.0962
2024-05-07,51.6416,51.6657,51.3021,51.3269
2024-05-06,51.598,51.7392,51.5707,51.6911
2024-05-03,51.4836,51.7711,51.4688,51.6073
2024-05-02,51.2866,51.4436,51.1401,51.4239
2024-05-01,51.0282,51.2623,50.912,51.0944
2024-04-30,51.2997,51.4517,50.8768,51.1136
2024-04-29,51.1679,51.443,50.9236,51.3062
2024-04-26,51.4505,51.4505,51.2086,51.2189
2024-04-25,51.3792,51.4036,51.171,51.3923
2024-04-24,51.4231,51.519,51.1024,51.2113
2024-04-23,51.291,51.5474,51.2036,51.4226
2024-04-22,51.6157,51.6792,51.175,51.3253
2024-04-19,51.5006,51.591,51.441,51.4968
2024-04-18,51.7601,51.948,51.4337,51.4422
2024-04-17,51.5275,51.9678,51.4626,51.7626
2024-04-16,51.3901,51.7568,51.1947,51.5791
2024-04-15,50.7349,51.9565,50.6504,51.2685
2024-04-12,50.6699,50.6764,50.5818,50.6381
2024-04-11,51.1055,51.1119,50.8834,51.0014
2024-04-10,51.6102,51.6183,51.0805,51.0805
2024-04-09,51.6297,51.7386,51.6038,51.6238
2024-04-08,51.5449,51.6743,51.4486,51.6309
2024-04-05,51.3193,51.3729,51.1485,51.3267
2024-04-04,51.3153,51.524,51.2944,51.3174
2024-04-03,50.7788,51.3588,50.7738,51.3027
2024-04-02,50.6478,50.8228,50.5239,50.8072
2024-04-01,51.0122,51.0932,50.5968,50.6579
2024-03-29,51.1367,51.1796,51.0779,51.1337
2024-03-28,51.1133,51.2487,50.8288,51.1543
2024-03-27,51.7971,51.8737,51.0467,51.1457
2024-03-26,51.3917,52.0187,51.3475,51.799
2024-03-25,50.3556,51.3857,50.2912,51.3652
2024-03-22,50.6383,50.6383,50.4523,50.5238
2024-03-21,51.2928,51.5024,50.6537,50.6607
2024-03-20,51.1042,51.2882,50.8775,50.9544
